year,items_count,playtime_forever,playtime_2weeks,item_id,posted year,sentiment_score
1998,476,4,0,251990.0,2014.0,2
1998,75,21,0,332800.0,2014.0,2
1998,75,21,0,319630.0,2015.0,2
1998,75,21,0,6020.0,2015.0,0
1998,75,21,0,55230.0,2015.0,2
1998,75,21,0,32430.0,2014.0,2
1998,461,0,0,346110.0,,2
1998,112,33,0,440.0,,2
1998,112,33,0,4000.0,,2
1998,112,33,0,211820.0,,2
1998,112,33,0,10180.0,,2
1998,112,33,0,252490.0,,2
1998,112,33,0,417860.0,2015.0,0
1998,365,339,0,304050.0,2015.0,0
1998,365,339,0,297130.0,,2
1998,365,339,0,397570.0,,0
1998,365,339,0,550.0,2014.0,2
1998,365,339,0,206420.0,2014.0,2
1998,365,339,0,278360.0,,2
1998,104,339,0,22370.0,2015.0,2
1998,104,339,0,307690.0,2015.0,2
1998,104,339,0,72850.0,2015.0,0
1998,557,0,0,432020.0,,2
1998,557,0,0,233720.0,2014.0,2
1998,88,87,0,224540.0,,0
1998,88,87,0,242860.0,,0
1998,88,87,0,47410.0,,2
1998,88,87,0,34330.0,,0
1998,246,133,0,274310.0,2014.0,0
1998,246,133,0,4000.0,2014.0,2
1998,110,5599,0,70.0,2014.0,2
1998,110,5599,0,70.0,2014.0,2
1998,110,5599,0,70.0,2014.0,2
1998,110,5599,0,70.0,2014.0,2
1998,460,0,0,236690.0,,0
1998,92,0,0,289130.0,2014.0,2
1998,129,739,0,381210.0,,2
1998,78,157,0,10680.0,2015.0,2
1998,78,157,0,238320.0,2015.0,2
1998,38,1404,148,209080.0,2015.0,2
1998,86,759,0,417860.0,2015.0,0
1998,86,759,0,265930.0,2014.0,2
1998,86,759,0,400.0,2014.0,2
1998,64,939,0,396900.0,,2
1998,140,554,6,33930.0,2013.0,2
1998,155,288,0,440.0,2015.0,2
1998,480,689,0,440.0,2014.0,2
1998,480,689,0,12110.0,2014.0,0
1998,480,689,0,221100.0,2015.0,0
1998,292,1440,0,203160.0,2015.0,2
1998,292,1440,0,242920.0,2015.0,2
1998,292,1440,0,314020.0,2015.0,2
1998,292,1440,0,223470.0,2015.0,2
1998,292,1440,0,57690.0,2015.0,2
1998,292,1440,0,317360.0,2015.0,2
1998,292,1440,0,233130.0,2015.0,0
1998,164,131,0,434260.0,,2
1998,127,1625,0,346110.0,2015.0,0
1998,127,1625,0,264710.0,2015.0,2
1998,127,1625,0,319510.0,2014.0,0
1998,49,1385,0,251570.0,2014.0,2
1998,65,71,0,730.0,2015.0,2
1998,133,292,0,230410.0,2013.0,2
1998,30,821,0,462930.0,,0
1998,30,821,0,250900.0,,2
1998,121,276,0,203140.0,2014.0,2
1998,160,30,0,730.0,2015.0,0
1998,110,249,0,322330.0,,0
1998,110,249,0,214560.0,,2
1998,110,249,0,34900.0,2015.0,2
1998,296,1858,0,234140.0,,0
1998,296,1858,0,322500.0,,2
1998,296,1858,0,620.0,,2
1998,296,1858,0,230410.0,2015.0,2
1998,38,22,0,730.0,2015.0,0
1998,38,22,0,4000.0,2014.0,2
1998,116,1894,0,550.0,2014.0,2
1998,116,1894,0,261820.0,2014.0,2
1998,75,1840,0,440.0,2014.0,2
1998,75,1840,0,220.0,2015.0,2
1998,75,1840,0,130.0,2015.0,2
1998,75,1840,0,12110.0,2015.0,2
1998,231,193,0,43160.0,2014.0,2
1998,231,193,0,24960.0,2015.0,2
1998,231,193,0,215670.0,2013.0,2
1998,102,0,0,261180.0,,2
1998,102,0,0,570.0,2014.0,2
1998,95,130,0,99900.0,2014.0,2
1998,133,99,0,221680.0,,2
1998,133,99,0,298110.0,2015.0,2
1998,138,767,0,1840.0,,2
1998,138,767,0,311210.0,2015.0,0
1998,138,767,0,261980.0,2014.0,2
1998,138,767,0,240.0,2013.0,2
1998,34,742,0,221380.0,2013.0,2
1998,356,0,0,340170.0,2015.0,2
1998,141,368,0,374320.0,,0
1998,141,368,0,300550.0,,2
1998,104,1306,0,218230.0,2014.0,2
1998,124,1387,0,19830.0,2014.0,2
1998,686,64,0,212680.0,2014.0,0
